nct_id,description
NCT03149705,"Ischemic stroke is the first cause of acquired disability of the adult, the second cause of dementia and the third cause of death in the industrialized countries, what constitutes à major public health issue. Stroke is characterized by a cerebral parenchymal lesion due to an ischemic mechanism (85% of the cases) or hemorrhagic mechanism (15%). For a long time, the only approved treatment was the intravenous thrombolysis (rt-PA). Recently, thrombectomy has proven its superiority in this pathology.

Cohorts of patients with stroke are rare but can be very valuable by their clinical, laboratory and imaging well documented. They are the source of new hypotheses for research or interventions as well as the quality of care assessment tool.

The main objective of this project is to identify new markers: biological and imaging, treatment response and prognosis after ischemic stroke.

Secondary objectives of the HIBISCUS-STROKE cohort are to establish a clinical database, completed by biological samples and by imaging data that can be used in the following areas:

Descriptive epidemiology of ischemic stroke and cerebral reperfusion,
Pharmacoepidemiology and treatments observatory: safety, efficacy, indication of treatment in real life, costs
Assessment of the long-term effect of the treatment on the occurrence of disability, stroke recurrence and death,
Quality of life and personal, familial, professional and social consequences of stroke,
Research of new diagnostic and prognostic biomarkers,
Research projects."
NCT00396708,This study aims to evaluate the effectiveness of using the myomo e100 wearable robotic rehabilitation system for increasing functional independence and long term rehabilitation of chronic stroke victims with a hemiparetic upper extremity.
NCT01907451,This project aims to study the effects early individualised retraining programme on walking ability in patients following hemiplegic stroke.
NCT00396058,"The purpose of the study is to determine whether methylphenidate facilitates so called short-term plasticity as measures with transcranial magnetic stimulation, in patients with stroke."
NCT01874093,"The primary objective of the study is to assess the safety and effectiveness of SPG stimulation with the ISS in a 24 hour window, in patients with an acute ischemic stroke in the anterior circulation, who received Mechanical Thrombectomy and/or IV-rtPA and Standard of Care."
NCT02046031,"To explore the rule of absorption, distribution, metabolism and elimination after intravenous administration of Ginkgolides Meglumine Injection healthy subjects. The plasma drug profiles will be important to assess the potential clinical drug-drug interactions."
NCT01945151,"To evaluate and compare the effects of Neuromuscular Electrical Stimulation when applied in the agonist and antagonist muscles of spastic hemiparetic patients.

The specific objectives are:

Evaluate the resistance movement, strength and muscle electrical activity before and after application of Neuromuscular Electrical Stimulation in spastic muscle (gastrocnemius).
Evaluate the resistance movement, strength and muscle electrical activity before and after application of Neuromuscular Electrical Stimulation in the spastic antagonist muscle (tibialis anterior).
Compare the risk of falls after application of Neuromuscular Electrical Stimulation in both muscles studied."
NCT02596607,"Acute stroke management represents a true medical emergency that requires prompt diagnosis and urgent treatment. However, only a small percentage of patients access to thrombolysis on time. Various actions have been implemented since 2006 in the Rhone area as part of research projects and of the 2010-2014 national stroke action plan: training of health professionals involved in the stroke management, increase of public awareness through sensibilization campaigns, implementation of telemedicine and increase of the number of hospital beds dedicated to stroke (stroke units beds).

The main objective of the STROKE 69 study is to assess the impact of these actions on intra-hospital acute stroke management times in the Rhône area. The secondary objectives are to assess the impact of these actions on the rate and place of thrombolysis, the rate of post- thrombolysis hemorrhage, the rate of thrombectomies, mortality in the acute phase, at 3 and 12 months, the level of disability at 3 and 12 months, pre-hospital times, the number of calls to SAMU centre 15 (French mobile emergency medical services, equivalent to 911) and management channels.

The investigator will perform a prospective cohort study between 06/11/2015 and 06/06/2016 and data will be compared to data collected in a previous cohorts study, the AVC-69 cohort study (Porthault Chatard et al, Int J Stroke. 2012 Oct;7(7):E13), between 06/11/2006 and 06/06/2007, before the implementation of the actions in the Rhône area.

The cohort will be constituted of all consecutive patients treated for a stroke suspicion by the Rhône SAMU centre 15, or in one of the emergency unit or stroke unit of the Rhône area, and presenting a symptom-onset (the last time the patient was seen without deficit) less than 24 hours.

After collecting data in the acute phase, patients with a confirmed diagnosis of stroke or transient ischemic attack (TIA) will be followed for 12 months after their inclusion by telephone calls at 3 and 12 months to assess the level of disability and mortality.

AVC 69 study allowed us to include 1306 patients between 2006 to 2007, the investigator plan to include at least 1300 patients in the STROKE 69 cohort with approximately 1000 confirmed strokes or TIAs."
NCT00401310,The safety and efficacy of MK0724 will be assessed in patients with acute middle cerebral artery stroke using the Action Reach Arm Test (ARAT). This test allows measurement of a specific functional deficit and subsequent recovery correlating with the specific area of stroke in the brain.
NCT01109355,"Intrathoracic positive pressure may lead to a change hemodynamics, with repercussions for the intracranial compartment, thereby altering intracranial pressure (ICP) and cerebral perfusion pressure (CPP). This effect may become more intense when using high positive end expiratory pressure (PEEP) values. The aim of the present study was to measure the impact of different PEEP values on ICP, CPP and mean arterial pressure (MAP). MAP, whereas high PEEP values increase ICP, although without clinical relevance."
NCT00402480,"The purpose of this study is to assess prospectively the efficacy of hydroxyurea therapy in the setting of cerebrovascular disease, manifest as conditional or abnormal transcranial doppler ultrasonography (TCD) flow velocities, in children with sickle cell anemia (SCA). TCD is used to measure flow velocity in intracranial arteries as a marker of increased stroke risk in children with SCA. The primary objective of this protocol is to determine whether hydroxyurea reduces elevated TCD velocity."
NCT00404872,"Cardiovascular disease (CVD) affects millions of people in the United States; each year, more people die from CVD than from any other disease. Individuals with low levels of n-3 fatty acids and high levels of trans-fatty acids may have an increased risk of developing CVD. This study will evaluate the link between fatty acids and the presence of CVD in older adults."
NCT01109836,Aim of this randomized controlled study is to test if intensive polyintervention therapy including life style modifications targeting at reduction of modifiable risk factors of stroke can reduce the risk of post-stroke cognitive decline compared to a group of patients receiving standard care.
NCT00407628,"To investigate the relationship between the integrity of the white matter, including the corticospinal tracts and the corpus callosum, with the recovery of lower extremity function in patients with cerebral stroke at the subacute and chronic stages."
NCT00413595,"New studies indicate that in about 1 - 2 percent of the younger stroke patients the cause could have been an undiagnosed genetic disease, the so called Fabry disease. In this case certain fat molecules are not digested and broken down by the body - but remain in the cells. These fat molecules build up to dangerous levels, which start to damage the body, because they accumulate e.g. in the walls of the blood vessels. This accumulation in the blood vessels of the whole body may cause life-threatening malfunctions in the brain, inducing a stroke.

The purpose of this study is to investigate the stroke rehabilitation of Fabry patients during different therapeutic standard approaches for stroke and for Fabry disease (if any). During this study, stroke patients with Fabry disease will be monitored in greater detail to determine whether the differences in treatment are significant for patient recovery and on what they depend."
NCT00407667,"Transcranial galvanic stimulation (tDCS) seems to promote motor recovery after stroke by stimulating (anodal) or inhibiting (cathodal) neural circuits in the brain. In the treatment of severe arm paresis after stroke, robot-assisted arm training (AT) proved to be effective, but nevertheless only a few patients could use their affected hand functionally in daily life after robot training. Therefore the present study intends to combine both approaches, tDCS + AT, applied at the same time every day for six weeks. The study has three treatment arms, two groups will receive the tDCS, either anodal of the lesioned or cathodal of the non-lesioned hemisphere. The anodal stimulation is expected to facilitate the activity of the arm motor area of the lesioned side directly, while the cathodal stimulation of the non-lesioned hemisphere is expected to facilitate the lesioned side indirectly by decreasing inhibitory inputs. The third group will receive a sham-stimulation. All patients will work with the AT simultaneously to the tDCS, respectively sham-tDCS."
NCT01200030,The investigators hypothesize that application of electrical stimulation would augment the effects of exercises in patients with stroke. Combined electrical stimulation with exercises for 6 weeks would lead to earlier and greater improvement in motor functions when compared with placebo-stimulation with exercises.
NCT01109875,The purpose of this study is to determine the incidence of Fabry Disease in young stroke patients in an Israeli stroke clinic.
NCT00417586,"Carotid stenosis, a condition in which plaque builds up inside the arteries of the neck and blocks blood flow to the brain, is one common cause of stroke. This study will evaluate the cost-effectiveness of using a new, specialized ultrasound device to screen individuals who are at risk for carotid stenosis."
NCT00415389,"The purposes of this study are to determine the effectiveness of an interactive stroke educational program compared to standard educational materials and usual care, to increase stroke knowledge, and to improve emergency room arrival times upon onset of stroke symptoms."
NCT00414583,"More than one million people in Europe suffer from a stroke every day. Normally older people have a stroke, but also a significant number of younger people between 18 and 55 years. Usually, these cannot be explained by the classical risk factors such as diabetes, overweight and high blood pressure. New studies indicate that in about 1 - 2 % of the younger stroke patients the cause could have been an undiagnosed genetic disease, the so called Fabry disease. The purpose of this study is to determine in a large number of young stroke patients, how many strokes were caused by Fabry Disease."
NCT00418275,To evaluate the safety profiles of HTU-PA in patients with acute ischemic stroke.
NCT00417898,"This study will determine the safety of 500mg of aspirin added to IV TPA at standard doses to prevent re-occlusion of cerebral vessels after successful reperfusion. In ischemic stroke brain arteries are occluded either by an embolus originating in the heart or large vessels leading to the brain or by a process of acute thrombosis of the cerebral arteries over a ruptured atherosclerotic plaque. Rupture of the plaque exposes thrombogenic elements within the plaque and leads to accumulation and activation of platelets and induction of the clotting cascade eventually leading to acute thrombosis and occlusion of the artery. TPA is currently approved by the Food and Drug Administration to treat heart and brain problems caused by blockage of arteries. It activates plasminogen and leads to disintegration of the thrombus/embolus. It is effective only if begun within 3 to 4.5 hours of onset of the stroke because of potential deleterious side effects including life threatening symptomatic intracranial hemorrhage (sICH) when the drug is administered outside of this time window.

Reperfusion of the ischemic brain (i.e. timely opening of the occluded artery) with TPA is associated with improved outcome. However, in about 33% of patients that have successfully reperfused after TPA the artery re-occludes within the first few hours resulting in worsening neurological symptoms and worse functional outcome. This re-occlusion is speculated to result from re-thrombosis over an existing ruptured atherosclerotic plaque. This is explained by the relatively short half life of TPA leaving the exposed ruptured plaque intact which leads to re-activation of platelets and clotting factors and re-thrombosis. Thus, we hypothesize that the addition of an antiplatelet agent to TPA would result in lower rates of re-occlusion after AIS. The FDA approved TPA for patients with AIS but discouraged the concomitant use of anti-platelet or anti-thrombotic drugs for the first 24hours after administration of TPA because of concerns that such therapy may result in increased rates of intracerebral hemorrhage. Aspirin is a well known platelet anti-aggregant that works by inhibition of cycloxygenase 1 and reduction in thromboxane A levels. It has a rapid onset of action and additional potential beneficial anti-inflammatory effects in patients with AIS. The international stroke study showed that acute treatment of stroke patients with 500mg of aspirin is safe and feasible and results in better outcome. Furthermore, the drug was safe in these circumstances with an ICH rate of only .

Therefore, the purpose of this clinical trial is to examine the safety and efficacy of the combination of aspirin with rt-TPA in patients with AIS."
NCT00419874,"The main goal of the present study is to challenge the hypothesis that blood- brain barrier disruption following brain injury increases the risk for long-term disability, development of brain dysfunction, epileptic seizures and neuroanatomical alterations."
NCT00428480,The primary purpose of this study is to determine the effects of reinforcement of walking speed on recovery of walking speed over the course of inpatient rehabilitation for people after stroke. The study will also examine the relationship between short distance walking speed and walking distance over a fixed time.
NCT00422474,"After acute stroke, baroreflex sensitivity (BRS) is impaired. This impaired acute stage BRS has been reported to be predictive of worsen outcome years after stroke in general. However, it is not very clear if the impaired acute stroke BRS would actually persist months after the acute stage. It is also not clear that such change, if any, would correlate with the functional outcome or prognosis after stroke.

The trial is to investigate the longitudinal time course of BRS after ischemic stroke up to the 6th month post stroke and to see if there is any correlation of the changes in BRS with the functional outcome parameters using NIHSS and mRS scores throughout this period."
NCT00436592,The purpose of this study is to assess the safety and feasibility of the NeuroFlo™ catheter in treating patients with ischemic stroke whose last time symptom-free was between 8-24 hours prior to treatment. The NeuroFlo device is intended to increase blood flow to the brain and potentially reduce the damage caused by stroke.
NCT00431821,"Regular exercise has been demonstrated to improve muscle strength, balance, coordination as well as improve cardiovascular fitness levels and overall quality of life in stroke survivors. This study is designed to test the feasibility and effectiveness of a 12-week intervention to education and encourage stroke survivors to exercise following discharge from rehabilitation settings using a walking program and targeted functional activity homework."
NCT00430456,"Individuals disabled by stroke are at risk of losing cardiovascular fitness and muscle due to disease. This worsens disability and can increase the risk of having another stroke or a heart attack. We would like to find out if and how different types of regular exercise (intense walking, long walking) can increase fitness, balance and improve walking function and activities of daily living in individuals who have suffered a stroke."
NCT00435617,The primary aim of this study is to investigate the effectiveness of the use of a robotic hand therapy device in the home environment. We hypothesize that the therapy group will improve hand function more than a customary and usual care group.
NCT00452582,"Stroke is the third leading cause of death in the United States and the leading cause of serious long-term disability. Approximately 50% of the 750,000 people affected by stroke each year have residual physical impairment. Treatment options for recovery are limited at this time. Sildenafil (Viagra) has demonstrated the capability of significantly improving recovery in several animal experiments of stroke. This study is aiming to establish the safety of treatment with sildenafil in people with stroke with the ultimate aim of testing its usefulness to improve recovery."
NCT00442845,Physicians tend to always use the lowest dose of statins to initiate therapy even in subjects who require large reductions in cholesterol. The study evaluates if selecting the starting dose based on baseline and target LDL-C cholesterol would provide better results (ie proportion of subjects resching target)
NCT00442325,European physicians tend to always use the lowest dose of statins to initiate therapy even in subjects who require large reductions in cholesterol. The study evaluates if selecting the starting dose based on baseline and target LDL-C cholesterol would provide better results (ie proportion of subjects resching target)
NCT00447200,"We would like to investigate the natural variation in the strokevolume of the heart. At the same time we would like to find out the minimal number of heart cycles necessary to discover a 10% increase in strokevolume, after a fluid bolus of 200ml Voluven, when using Esophageal Doppler."
NCT00462683,"The purpose of the study is to evaluate the state of bone health of brain injury patients being seen within a rehabilitation setting. Osteopenia is a condition of bone in which decreased calcification, decreased density, or reduced mass occurs. Osteoporosis is a disease in which the bones become extremely porous, are subject to fracture, and heal slowly. More specifically, the prevalence of osteopenia and osteoporosis at specific anatomic locations (e.g., forearms, hips, spine) will be determined as will specific interventions (e.g., use of vitamins, nutritional supplements, specific prescription medications) that people with brain injury may be applying, or have applied, to manage their bone health. An attempt will also be made to evaluate severity of brain injury, based on loss of muscle strength/function, and to compare this data with bone-focused information such as bone mineral density (BMD), falls, and history."
NCT00453843,"We will test on persons with chronic impairment due to stroke:

whether the order in which robot therapy is delivered influences outcomes (shoulder-and-elbow before wrist vs. wrist before shoulder-and-elbow).
whether we should train the shoulder, elbow, and wrist at the same time or on different days."
NCT01112488,"Currently there is a lot of literatures on stroke rehabilitation and post-discharge therapy. However, there are few evidence based guidelines on patient engagement after stroke in the post-rehabilitation community phase. There is evidence from stroke studies that stroke patients with mild to moderate disability, discharged early from an acute hospital unit can be rehabilitated in the community by an interdisciplinary stroke rehabilitation team and attain similar functional outcomes when compared to patients receiving in-patient rehabilitation. There is strong evidence that additional hospital based outpatient therapy improves short term functional outcomes compared to routine care over short term. Although meta-analyses have examined the efficacy of self management education programs, the interpretation of such reviews is limited by heterogeneity in populations and interventions and the limited range of outcomes measured. Few randomized controlled trials have found a reduction in health service utilization, such as incidences of hospitalization (in patients with chronic lung disease, heart disease, stroke and arthritis) as a direct outcome of attending an education program. For self-management support to be effective and sustainable in the community, it is postulated that initiatives simultaneously focus on supporting patients to engage in self management and equipping health care professionals with the necessary resources to assist them."
NCT00473057,This is a open label study to assess the safety of autologous bone marrow transplantation in patients with a ischemic stroke in the middle cerebral artery territory within 90 days from symptoms onset.
NCT00463281,"Aim of this study is to define a CT-based ""tissue window"" for stroke thrombolysis. Our primary hypothesis is that

patients with a ""tissue window"" (favourable non-contrast CT (NCCT) scan and an intracranial occlusion on CT angiography (CTA) or perfusion-CT-mismatch"" (area of reduced cerebral blood flow (CBF) > area of reduced cerebral blood volume (CBV)) represent a significant proportion (> 20%)of acute stroke patients and therefore are an important target group for future interventional studies
patients with a ""tissue window"" suffer an unfavourable outcome (> 50 % mRS =>4 at 3 months)if the occluded artery was not recanalized."
NCT01112813,"Stroke is the leading cause of adult disability and the third leading cause of death in Canada. Most stroke survivors live with residual impairments that diminish independence and quality of life. This may include vascular cognitive impairment (loss of ability to plan, think and reason) which can lead to dementia and loss of mental and functional independence.

The current treatment to reduce stroke induced brain tissue injury is limited to thrombolytics (clot busters), a therapy useful only if given in the first hours following stroke. One major new approach aims to reduce cell death after stroke by targeting the ongoing tissue loss initiated by the stroke. The tissue can be maintained by interfering with later neurochemical processes that are activated by stroke, potentially through activating natural substances in the brain that help survival and growth of nerve cells (""neurotrophic"" factors).

The recent recognition of lithium as a neurotrophic agent has generated the first studies of lithium treatment for managing brain diseases. Clinically, lithium has now been shown to increase brain gray matter volume in bipolar patients. This effect is potentially important in stroke because gray matter loss has been implicated in the development of cognitive impairment after stroke, a result of the series of brain processes that are activated by lack of oxygen due to stroke. Our primary objective is to examine the effects of lithium on total brain gray matter volume in the post-stroke population, as measured by volumetric magnetic resonance imaging (MRI) with the hope that lithium may increase gray matter volume in post-stroke patients and lead to greater cognitive and functional rehabilitation. This study will provide valuable information on the tolerability of lithium, and its effects on clinical outcomes relevant to stroke, providing the information needed for designing a large-scale clinical trial."
NCT00472381,Hyperglycaemia is a frequent finding in acute ischemic stroke and associated with poor outcome. But the modalities of glucose lowering are still debated. This study will test the efficacy and safety of continuous intravenous insulin protocol versus usual subcutaneous insulin in acute ischemic stroke.
NCT00478478,"Post-Market Registry on Use of Merci Retrieval System. Primary data to be collected will include:

Post-procedure revascularization success
90-day mRS 0-2
90-day mortality"
NCT00474292,"This study will examine how the brain rewires itself to make up for the lack of movement many people with stroke experience. It will try to determine if the rewiring differs depending on the location of the stroke and the amount of time since the stroke occurred. For some stoke patients, weakness may persist, while others recover completely after time. It is not known which parts of the brain are involved in the recovery of different types of stroke and if the type of stroke affects recovery.

People 18 years of age and older who have had subacute thromboembolic or hemorrhagic stroke more than 3 months before enrolling may participate in this study.

Participants come to the NIH Clinical Center three times every 2 years for up to 10 years. At the first visit, patients have a neurological examination and perform tests of motor abilities such as lifting small objects, turning cards, using a spoon, stacking checkers and lifting cans during a short period of time as rapidly as possible.

At the second visit, subjects have structural magnetic resonance imaging (MRI) scans of the brain. MRI uses a strong magnetic field and radio waves to obtain images of body organs and tissues. The MRI scanner is a metal cylinder surrounded by a strong magnetic field. During the scan, the subject lies on a table that can slide in and out of the cylinder, wearing earplugs to muffle loud knocking noises associated with the scanning process. Total scan time is about 30 minutes

At the third visit, subjects perform some simple movement tasks during functional MRI (fMRI) scans. The procedure is the same as with structural MRI, except that subjects are asked to perform simple movement tasks in the scanner. Before the fMRI scans, electrodes are attached to the subject's arms and legs to monitor muscle activity (surface electromyography). Total scan time is about 1.5 hours. Movement tasks might include pinching a force-measuring instrument with the fingers, pressing different keys on a keyboard as fast as possible, inserting pegs into small holes on a board, lifting weights, flipping cards or similar activities."
NCT00474409,The purpose of this study is to determine the efficacy and safety of Betahistine Mesilate in the treatment of patients with vertigo caused by Cerebral Infarction in posterior circulation.
NCT00486915,"Stroke is a major cause of morbidity in western society, and an infrequent complication of cardiac surgery. The majority of thromboembolic strokes arise from the left atrium, in particular the left atrial appendage. This study aims to assess the short-term effects of left atrial appendage ligation in terms of postoperative clinical and biochemical parameters; and the long-term effects of left atrial appendage ligation in terms of stroke incidence."
NCT01113645,"The purpose of this study is to examine the impact of cranioplasty on cerebral hemodynamic and blood flow as prognostic factor in patients receiving decompressive craniectomy for Head injuries, Subarachnoid haemorrhage, intra-cerebral haemorrhage, cerebral dural sinus thrombosis, malignant middle cerebral artery stroke."
NCT00479518,"Patients with stroke or transient ischemic attack (TIA) are at high risk of poor outcome, recurrence of cardiovascular events or vascular death.Until now, no reliable predictive biological marker could be identified in the acute phase of stroke.We hypothese that, in the acute phase of ischemic stroke or TIA, the increase of cardiac ( brain natriuretic peptide, BNP) or renal markers (albuminuria, cystatin C)might predict recurrence of cardiovascular events or vascular death. We want to assess which one of these markers has the best prognosis value , in a prospective study of 300 stroke patients followed during 3 years."
NCT00484549,"Fabry disease is a genetic disease due to an enzymatic deficit. A screening of this disease allows patients to benefit from an enzyme replacement therapy and prevent the occurrence of life threatening manifestations such as an ischemic stroke.

The purpose of the study is to determinate the prevalence of Fabry disease in a population of male patients hospitalized for an ischemic stroke.

This study, with a screening of Fabry disease, allows the patients to make a precise diagnosis of their ischemic stroke and to facilitate the screening of the other members at the facility."
NCT00485641,The purpose of this study is to determine what the potential utility of the Functional Tone Management (F.T.M) Arm Training Program using the SaeboFlex in an inpatient stroke rehabiliation hospital
NCT01114815,"The purpose of this study is to delineate early neurological features and their progression in patients with cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) in order to facilitate early diagnosis, prevent erroneous diagnosis and mistreatment and improve physician education about this relatively common yet under-recognized dementing disorder.

Patients with CADASIL suffer from a variant from migraine that differs from wild type migraine in terms of its severity, progressive nature and underlying pathophysiology. Recurrent stereotypic acute confusional state associated with the headache episodes in patients with CADASIL is a distinctive phenomenon, which if recognized will lead to an earlier and accurate diagnosis of this condition.

Specific Aims:

Characterize the nature, frequency and severity of migraine in patients with CADASIL.
Delineate the phenomenon of acute confusional migraine as a distinct subgroup of migraine and establish its prevalence in patients with CADASIL.
Determine the latency between the onset of neurological symptoms including migraine, and diagnosis of CADASIL and the prevalence of misdiagnosis."
NCT00495248,The aim of the study is to evaluate the effect of a group intervention programme for community dwelling elders with stroke or TIA.The intervention is inspired by a Lifestyle Redesign method developed in the USA. The study is conducted as a multi centre randomized controlled trial. Participants are recruited from five hospitals and the intervention is implemented at six to seven senior centres. The control group is offered physical activity at the senior centre once a week. The intervention group is offered the same with addition of the programme inspired by Lifestyle Redesign. The study will contribute to knowledge whether the intervention will promote social participation and thriving in daily life and prevent social isolation and depressive symptoms among community dwelling elders with stroke or TIA.
NCT00494520,"Adults who sustain brain damage due to stroke, traumatic injury or surgery may develop difficulty finding words. This study compares the effectiveness of two behavior-based programs to improve picture naming ability in these individuals."
NCT00499902,The purpose of this study is to identify a safe and effective bolus dose of intra-arterial/intra-thrombus alfimeprase in acute ischemic stroke (AIS) 3 to 9 hours from symptom onset.
NCT01763606,"Patients with cancer who develop stroke are at high risk for future strokes or other clotting events. These patients are routinely treated with medicines that thin their blood, including enoxaparin or aspirin. However, it is unclear which medicine is best and whether these medicines can be adequately studied in a clinical trial.

The purpose of this Phase I/II study is to determine if a clinical trial of different blood thinners in patients with cancer and stroke is possible. In addition, the study aims to compare the effects, good and/or bad, of enoxaparin with those of aspirin on patients with cancer and recent stroke."
NCT00506818,"Cognitive and emotional symptoms are often seen in the acute phase of a stroke. The prevalence of such symptoms later and the mechanisms explaining the symptoms are not fully known. The causes of poststroke dementia are likely to be multifactorial (Cerebrovascular Diseases 2006). The investigators want to include all patients with first ever stroke without significant cognitive decline prior to the stroke (IQCODE cut-off 3,7) and follow them up for one year. At baseline we will make stroke classifications, measure neurological deficits according to NIHSS, evaluate cognitive and emotional function and make registrations of vascular risk factors, including precerebral color duplex scan with measurement of IMT in CCA. The investigators will then randomize the patients into multifactorial vascular-risk-factor-intervention in the hospital or care as usual in the primary health care. 8-12 months after stroke onset, survivors will undergo new examinations to evaluate neurological, cognitive and emotional functions, as well as MRI and SPECT."
NCT00504842,"This is a randomized, placebo controlled, parallel group dose escalation trial to evaluate the safety, tolerability, and activity of four sequential dose tiers of MRX-801 and ultrasound as an adjunctive therapy to tissue plasminogen activator (tPA) treatment in subjects with acute ischemic stroke."
NCT00507806,"The study is designed to examine the safety, tolerability, and activity of a combination of microbubbles (perflutren lipid microsphere [Definity®]) and continuous monitoring with 2 MHz transcranial Doppler ultrasound (TCD) as an adjunctive therapy to tissue plasminogen activator (tPA) treatment in subjects with acute ischemic stroke."
NCT01115348,"Stroke is the most common cause for motor disability in the grown-up population in the Western world. In Sweden > 80 % are above 65 years of age at onset (1).Areas in the brain, controlling the movement in the upper extremity (UE) are often damaged at a stroke, which leads to impaired function. This impairment of the UE often leads to limitations in activities of daily living and reductions in the level of social activities; therefore, interventions that will improve function are needed to reduce the consequences for the person living with stroke. The time course of recovery of the UE is not clear and therefore the optimal timing of the intervention for the person and its content (ways of intervention) uncertain.

The investigators have developed objective assessments of motor performance with new technology (kinematic analysis and virtual reality with haptics). Since having an impaired UE often results in reduced capacity in daily living and social activities, this might lead to decreased participation. To complement the traditional focus on body function, there is a need for assessments of the person's activity level and participation, as well as self-perceived function.

The results from this study will lay the ground for an intervention study focusing on improved function in the upper extremity."
NCT02080624,"Sturge-Weber syndrome (SWS) is a rare congenital neuro-cutaneous disorder considered as a rare or orphan disease. SWS is characterized by a capillary vascular malformation (CM) localized on the skin of the face, eyes and central nervous system. Given the localization and the extent of the CM, children with SWS are particularly prone to developing severe psychological problems. The standard treatment for CM is pulsed dye laser (PDL) although in these cases whitening of the lesion is rarely achieved. Combining topical rapamycin, a specific inhibitor of the mammalian target of rapamycin, with PDL is hypothesised to be a good therapeutic option in these patients."
NCT00509119,This is a study on how acute clinical state and final clinical outcome in patients with stroke (exclusive subarachnoid hemorrhage) relate to ICP/ABP-derived pressure waveform parameters recorded during intensive care management.
NCT00511784,"This study uses the PharMetrics and MarketScan US health care insurance claims database to estimate relative risks for non-fatal venous thromboembolism (including cerebral venous sinus thrombosis), ischemic stroke, and acute myocardial infarction (heart attack), in current users of ORTHO EVRA (norelgestromin and ethinyl estradiol contraceptive patch) compared to current users of oral levonorgestrel-containing oral contraceptives with 30 micrograms ethinyl estradiol, with special attention to duration of use."
NCT01852201,"Primary Endpoint:

The primary objective is to show that AIS patients, ineligible for or refractory to treatment with IV-tPA, with appropriate image selection, treated with mechanical thrombectomy within 6-12 hours of symptom onset have less stroke related disability and improved good functional outcomes as compared to those treated with best MT with respect to endpoint defined as:

• 90-day global disability assessed via the modified Rankin score (mRS), analyzed using raw mRS scores. Statistical details can be found in section 7.2.

Secondary Endpoints:

90-day global disability in the 6-12 hr cohort assessed via the overall distribution of mRS
Proportion of patients with good functional recovery for the 6-12 hr cohort as defined by mRS 0-2 at 90 days
Mortality at 30 and 90 days
Intracranial hemorrhage with neurological deterioration (NIHSS worsening >4) within 24 hours of randomization
Procedure related serious adverse events (SAE's)
Arterial revascularization measured by TICI 2b or 3 following device use"
NCT02971826,"The last marketed thrombectomy devices, named stentretriever, permit a better and faster recanalization in patient with a stroke. The REVIVETM SE is a device designed to restore the brain perfusion in patient with an intracranial artery occlusion. The REVIVETM Se device is not widely use in Europe and in France. The objective of this study is to assess the interest of using this device in the standard care of ischemic stroke in the radiology unit of the hospital Pierre Wertheimer, Lyon. The medical care will not be modified but data will be collected in order to determine whether or not this device is useful for the practice of the radiology unit."
NCT02282098,"The purpose of this study is to determine the feasibility of performing a randomized controlled trial to investigate the efficacy of an anti-inflammatory drug, colchicine, at reducing well validated markers of thrombosis (D-dimer) and inflammation (hs-CRP)."
NCT02090270,The purpose of this study is to prospectively examine the relation between ischemic stroke and hair cortisol concentration. The investigators hypothesize that patients with ischemic stroke have higher levels of hair cortisol compared to controls.
NCT01952613,"Our proposal quantitatively analyzes gait dynamics of hemiplegic individuals in response to the Function Electrical Stimulation (FES) intervention and identifies the responders to the intervention. This study will improve our knowledge of FES intervention and help clinicians strategize the FES interventions more effectively based on the responders' gait characteristics, thus supporting the NINDS' fundamental goal of translating basic and clinical discoveries into better ways to prevent and treat neurological disorders."
NCT02192125,The study examines the possible application of the rehabilitation platform REWIRE.
NCT01800461,"Participation in valued activities following stroke is a recognized problem. Efficient and effective interventions to address this problem have not yet been established although the literature provides direction as to the needs of stroke survivors and important parts of interventions to address these needs. Occupational Performance Coaching (OPC) is an emerging approach to enabling occupational performance or participation in valued activities that includes these important parts of interventions. The primary goal of OPC is ability and satisfaction with participation in chosen activities, while promoting a client's ability to address future problems with participation. OPC has been successfully used with parents and their children in addressing problems with participation.

OPC has not been explored among adults who have experienced a stroke. For this study OPC-Stroke (OPC adapted for stroke survivors) will be tested to explore its potential effectiveness for increasing participation as well as how feasible and acceptable the research methods are. Sixteen participants who receive OPC-Stroke will be compared with sixteen who do not using measures of participation, goal achievement, well-being, self-efficacy and cognition. Those who receive OPC-Stroke will also be interviewed about their experience of the treatment."
NCT00530478,The purpose of this study is to demonstrate the efficacy and safety of donepezil on the recovery of cognitive function in patients with stroke and to delineate the neurophysiologic mechanisms of the therapeutic effect of donepezil on the recovery of cognitive network using functional neuroimaging technique.
