"nct_id","brief_title","condition","intervention_type","intervention"
"NCT03135405","Controlling Hypertension in Native American and Other Populations","Hypertension","Behavioral","Automated messages"
"NCT05547711","Prediction and Validation of Unipolar Depression With Psychosocial-somatic Markers in a Naturalistic Cohort Recruited in an Outpatient Setting","Depression","Diagnostic Test","drawing blood"
"NCT02014740","Effect of Liraglutide on Epicardial Fat in Subjects With Type 2 Diabetes","Type 2 Diabetes","Drug","Liraglutide"
"NCT01032434","An 8-week, Open-label Study to Evaluate the Effect of Sertraline on Polysomnogram in Depressive Patients With Insomnia","Depression","Drug","sertraline"
"NCT03205033","Melatonin as a Circadian Clock Regulator, Neuromodulator and Myelo-protector in Adjuvant Breast Cancer Chemotherapy","Depression","Drug","Melatonin 20 MG Oral Capsule"
"NCT02374567","Pharmacovigilance in Gerontopsychiatric Patients","Depression","Drug","Flupentixol"
"NCT00361023","Effects of Losartan on Insulin Sensitivity and Secretion in Type 2 Diabetes and Nephropathy","Type 2 Diabetes","Drug","losartan"
"NCT00106236","Efficacy of Exercise at a Fitness Club for Cardiovascular Risk Reduction","Hypertension","Behavioral","exercise"
"NCT05548244","Mechanisms of Behavioral Activation (BA)","Depression","Behavioral","Behavioral Activation Therapy"
"NCT02716064","TAPESTRY for People With Cardiovascular and Metabolic Disease: A Pilot Study","Hypertension","Behavioral","TAP-CM Intervention"
"NCT00268502","Quality of Life in African-American or Caucasian Female Breast Cancer Survivors","Depression","Procedure","management of therapy complications"
"NCT03985384","Semaglutide Treatment On Coronary Progression","Type 2 Diabetes","Drug","Semaglutide 2 MG/1.5 ML Subcutaneous Solution"
"NCT05539131","Demonstration Study of the Effect of the Transcranial Direct Current Stimulation (tDCS) on Depressed Patients","Depression","Device","transcranial direct current stimulation (tDCS)"
"NCT03304392","Therapist-guided Internet-delivered Cognitive Behavioural Therapy","Depression","Behavioral","Personalized ICBT"
"NCT04196231","Durability of Combination of Insulin and GLP-1 Receptor Agonist or SGLT-2 Inhibitors Versus Basal Bolus Insulin Regimen in Type 2 Diabetes (BEYOND)","Type 2 Diabetes","Drug","Insulin/Canaglifozin"
"NCT04342494","Providing Mental Health Precision Treatment","Depression","Device","Headspace app + Standard Feedback"
"NCT04254198","Tertulias Social Isolation Women's Groups Study","Depression","Behavioral","TERTULIAS structured dialogue peer support groups"
"NCT00960076","An 18 Week Efficacy and Safety Study of Saxagliptin and Metformin XR Combination in Subjects With Type 2 Diabetes","Type 2 Diabetes","Drug","Saxagliptin"
"NCT04290754","PATH 2 Purpose: Primary Care and Community-Based Prevention of Mental Disorders in Adolescents","Depression","Behavioral","TEAMS"
"NCT04863755","Change of Lifestyle in Elderly Patients With Type 2 Diabetes and Systemic Arterial Hypertension","Hypertension","Behavioral","DASH"
"NCT05346250","Long-term Effect of Moderate and Vigorous Exercise on Incident Diabetes in Obese Subjects","Type 2 Diabetes","Behavioral","Moderate intensity exercise"
"NCT05470725","Study to Evaluate the Pharmacokinetics of CIN-107 in Subjects With Varying Degrees of Renal Function","Hypertension","Drug","CIN-107"
"NCT03333707","Impact of a Mobile Application (Pacifica) on Stress, Anxiety, and Depression","Depression","Behavioral","Pacifica App"
"NCT01756430","Efficacy and Safety of Carvedilol SR Versus Carvedilol IR in Patients With Essential Hypertension","Hypertension","Drug","Carvedilol SR 64mg, QD"
"NCT02489422","Programs To Support You During Chemotherapy","Depression","Behavioral","Attention Control"
"NCT02827903","Metformin/Rosuvastatin Combination Therapy With in Patients With Type 2 Diabetes and Dyslipidemia","Type 2 Diabetes","Drug","placebo + Rosuvastatin"
"NCT02802254","Increasing Risk Perception of Physical Activity Using Patient-targeted Feedback.","Hypertension","Behavioral","Patient-targeted individual physical-activity-feedback"
"NCT01672372","The Effect of Methylated Vitamin B Complex on Depression","Depression","Dietary Supplement","Max Stress B"
"NCT00536406","Evaluating a Behavioral Activities Treatment Program for Depressed Nursing Home Residents","Depression","Behavioral","BE-ACTIV"
"NCT01443143","Blood Glucose Stability and Variability on Two Diets","Type 2 Diabetes","Dietary Supplement","Usual Diet"
"NCT01115088","Effects of Stevia on Satiety and Eating Attitudes in Healthy, Overweight and Obese Adults","Type 2 Diabetes","Dietary Supplement","Stevia"
"NCT02433119","The Efficacy and Safety of OROSARTAN® Versus CODIOVAN® in Patients With Essential Hypertension Uncontrolled With Monotherapy","Hypertension","Drug","CODIOVAN® 160/12.5mg"
"NCT02047019","Monotherapy-Controlled Study of Nifedipine Gastrointestinal Therapeutic System and Candesartan Cilexetil in Combination in Subjects With Essential Hypertension Inadequately Controlled on Candesartan Cilexetil","Hypertension","Drug","Candesartan matching placebo"
"NCT04764253","Examining the Individual Response to a Restricted Sodium Diet in Hypertensive Patients","Hypertension","Behavioral","Modified Sodium Watcher Program + Digital Self-Monitoring"
"NCT05166954","Effect of Bariatric Surgery on Cardiac Function in Patients With Hypertension","Hypertension","Procedure","LSG"
"NCT01409239","Effect of Glycemic Variability on Autonomic Tone in Hospitalized Patients With Type 2 Diabetes","Type 2 Diabetes","Drug","Subcutaneous Insulin"
"NCT01860547","Effects of Berries and Berry Fractions on Metabolic Diseases","Type 2 Diabetes","Dietary Supplement","Bilberries"
"NCT04334278","Development of a Mind Body Program for Obese Knee Osteoarthritis Patients With Comorbid Depression","Depression","Behavioral","Health Enhancement Program"
"NCT02831153","Evaluation of Emotional Status and Coronary Flow Characteristics by TIMI Frame Count Method","Depression","Procedure","coronary angiography"
"NCT02191553","Differential Effect of Four Mindfulness Exercises","Depression","Behavioral","Body scan"
"NCT04886856","Mindful Moms Randomized Control Trial","Depression","Behavioral","Prenatal Education"
"NCT03984929","Conexion: A Localized Information Resource on Diabetes and Depression for a Low-income Hispanic Community","Depression","Behavioral","Conexion Localized"
"NCT01075698","A Trial of Telmisartan Prevention of Cardiovascular Disease","Hypertension","Drug","ARB (Telmisartan)"
"NCT00006294","Genetics of Hypertension Associated Treatments (GenHAT)","Hypertension","Drug","Amlodipine"
"NCT01969357","A Study of the Effectiveness and Safety of SP2086 to Treat Type 2 Diabetes","Type 2 Diabetes","Drug","Placebo"
"NCT00112515","Modafinil in Treating Fatigue in Patients With Cancer","Depression","Procedure","psychosocial assessment and care"
"NCT00548067","Pharmacokinetic Drug Interaction Study Following Co-administration of Valsartan, Hydrochlorothiazide and Amlodipine in Patients With Hypertension","Hypertension","Drug","Valsartan/amlodipine"
"NCT02413294","Sleep to Activate Mood Promotion","Depression","Device","Re-Timer glasses"
"NCT01740921","GLP-1 and Microvascular Function in Type 2 Diabetes","Type 2 Diabetes","Drug","Liraglutide"
"NCT01217905","Japanese Single and Multiple Ascending Dose, Safety, Tolerability, Pharmacokinetic (PK) & Pharmacodynamic (PD) Study of AZD7687","Type 2 Diabetes","Drug","AZD7687"
"NCT02047019","Monotherapy-Controlled Study of Nifedipine Gastrointestinal Therapeutic System and Candesartan Cilexetil in Combination in Subjects With Essential Hypertension Inadequately Controlled on Candesartan Cilexetil","Hypertension","Drug","Candesartan Cilexetil"
"NCT04561011","Internet Delivered Cognitive Behavioural Therapy for Persons With Mild Traumatic Brain Injury","Depression","Behavioral","Internet-delivered Cognitive Behavioural Therapy(ICBT)"
"NCT01664624","Roflumilast Plus Alogliptin Proof-of-Mechanism Study in Type2 Diabetes","Type 2 Diabetes","Drug","Placebo to roflumilast"
"NCT02669524","Dissection of the Gastrointestinal-mediated Glucose Disposal and Incretin Defect in Patients With Type 2 Diabetes","Type 2 Diabetes","Procedure","OGTT"
"NCT02235194","Effects of an Amino Acid and Chromium-picolinate Containing Drink on Glucose Metabolism","Type 2 Diabetes","Dietary Supplement","Placebo Drink"
"NCT00170963","Efficacy and Safety of Valsartan/Amlodipine Combination in Hypertensive Patients Not Controlled With Valsartan Alone","Hypertension","Drug","valsartan/amlodipine"
"NCT00005015","Treatment of Depression in Youth With Bipolar Disorders","Depression","Drug","Fluoxetine"
"NCT01028846","Central Mechanisms That Regulate Glucose Metabolism in Humans","Type 2 Diabetes","Drug","Placebo"
"NCT02396472","Mental Health Pathways in Internet Support Groups","Depression","Behavioral","Order by time and topic"
"NCT01964092","Effect Evaluation of Individual Placement and Support (IPS)","Depression","Behavioral","Individual Placement and Support"
"NCT00212797","A Study to Determine the Efficacy and Safety of 2 Doses of Org 34517 as Adjunctive Therapy in Subjects With Psychotic Major Depression (28130)(P05845)","Depression","Drug","Placebo"
"NCT02391779","Flaxseed Lignan Supplementation in Elderly Participants With Stage I Hypertension","Hypertension","Dietary Supplement","Placebo (Whey Protein)"
"NCT02243566","Post-marketing Surveillance Study With MicardisPlus® in Treatment of Morning Hypertension (Self-monitored by Patient)","Hypertension","Drug","MicardisPlus®"
"NCT00362115","Safety and Efficacy of Azilsartan Medoxomil in Participants With Mild to Moderate Hypertension","Hypertension","Drug","Placebo"
"NCT04200170","Examining the Feasibility of a Mobile Mental Health Application in Psychotherapy","Depression","Device","Rose"
"NCT04219124","The Effect of a SGLT2 Inhibitor on Glucose Flux, Lipolysis and Exercise in Type 2 Diabetes","Type 2 Diabetes","Drug","IMP oral tablet"
"NCT00961480","A Study to Demonstrate the Bioequivalence of Sitagliptin/Metformin Combination Tablets and Co-administration of Sitagliptin and Metformin as Individual Tablets (0431A-095)","Type 2 Diabetes","Drug","Comparator: metformin 500mg"
"NCT03333798","Psychosocial Intervention With Community Worker Support for Survivors of Intimate Partner Violence","Depression","Behavioral","Standard psychosocial care"
"NCT00612794","A Study to Examine Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Exenatide Once Weekly in Japanese Patients With Type 2 Diabetes","Type 2 Diabetes","Drug","exenatide once weekly"
"NCT00254007","Depression and Traumatic Brain Injury","Depression","Drug","citalopram (celexa)"
"NCT00854542","Effectiveness of Telepsychiatry-based Culturally Sensitive Collaborative Treatment of Depressed Chinese Americans","Depression","Behavioral","Telepsychiatry-based Culturally Sensitive Collaborative Treatment"
"NCT02004366","Linagliptin Inpatient Trial","Type 2 Diabetes","Drug","Linagliptin"
"NCT03959865","GLP-1 REceptor Agonists and Real World EvIdeNce","Type 2 Diabetes","Drug","Human-based GLP-1RA"
"NCT03038867","Impact of Duloxetine on Male Fertility","Depression","Drug","Duloxetine"
"NCT03973268","Mechanism of Action Underlying Ketamine's Antidepressant Effects: The AMPA Throughput Theory in Patients With Treatment-Resistant Major Depression","Depression","Drug","Arm 1 and 2 Interventions"
"NCT04328389","Periodontal Management in Hypertensive Patients (PERIOTENSION Trial I)","Hypertension","Behavioral","electric toothbrush"
"NCT02245464","Post Marketing Surveillance (PMS) Study to Assess Safety and Efficacy of Micardis in Patients With Essential Hypertension","Hypertension","Drug","Telmisartan"
"NCT02213900","Preventing Post-Operative Delirium in Patients Undergoing a Pneumonectomy, Esophagectomy or Thoracotomy","Depression","Drug","Placebo"
"NCT00344240","Exercise and Activity Guidance in Older Adults With Diabetes","Type 2 Diabetes","Behavioral","Functional circuit training with lifestyle behavior"
"NCT04621877","Lay-Delivered Behavioral Activation in Senior Centers","Depression","Behavioral","Master's level clinician-delivered Behavioral Activation"
"NCT04267471","Tai Chi for Patients With Essential Hypertension","Hypertension","Behavioral","Walking"
"NCT00229957","Rehabilitation in Primary Care: A Project to Maximize the Health Status of Adults With Chronic Illness","Hypertension","Behavioral","Occupational therapy"
"NCT02181231","Buprenorphine Used With Treatment Resistant Depression in Older Adults","Depression","Drug","venlafaxine XR"
"NCT00534911","Reducing Depressive Symptoms in Physically Ill Youth","Depression","Behavioral","Cognitive Behavioral Therapy"
"NCT02276742","Lifestyle Management of CKD in Obese Diabetic Patients","Type 2 Diabetes","Behavioral","Social Cognitive Theory"
"NCT01461499","Shiga Microalbuminuria Reduction Trial-2","Hypertension","Drug","any angiotensin receptor blockers"
"NCT03308864","Strong Connections","Depression","Behavioral","Treatment as usual"
"NCT02411006","Effect of Reminders on Adherence","Hypertension","Behavioral","Prediction mailing"
"NCT02177448","BIBR 277 Capsule in Patients With Essential Hypertension","Hypertension","Drug","BIBR277 medium dose"
"NCT00490672","Community Based Multiple Risk Factors Intervention Strategy","Hypertension","Behavioral","No Active Intervention."
"NCT02774460","The Precision Hypertension Care Study","Hypertension","Drug","Hydrochlorthiazide®"
"NCT00695955","One-Year Safety and Tolerability Study of Azilsartan Medoxomil in Participants With Essential Hypertension","Hypertension","Drug","Azilsartan medoxomil with or without add-on hydrochlorothiazide"
"NCT03934398","Be-HealthY: Behavioral Risk Factors for Poor Vascular Health in Youth","Hypertension","Diagnostic Test","Actigraphy"
"NCT00426478","Safety and Efficacy of Valsartan Plus Hydrochlorothiazide and Amlodipine in Hypertensive Patients","Hypertension","Drug","Valsartan plus Hydrochlorothiazide (80mg/12.5mg)"
"NCT02338921","Triple Combination Therapy in Type 2 Diabetic Patients Who Had Inadequate Glycemic Control With Combination Therapy","Type 2 Diabetes","Drug","Lobeglitazone"
"NCT00353652","Effects of Thiazide Diuretics on Sympathetic Nervous System in Hypertension","Hypertension","Drug","Study #1: spironolactone (SP), titrated dose"
"NCT03389464","Computer-based Treatment of Dysfunctional Beliefs in Depressive Inpatients","Depression","Behavioral","computer-based confrontation with dysfunctional beliefs"
"NCT01324050","Internet-delivered Psychodynamic Therapy for Depression","Depression","Behavioral","Internet-delivered psychodynamic therapy for depression"
"NCT02184481","Working Memory Training for Dysphoric Students","Depression","Behavioral","Working memory training"
"NCT00498706","Effectiveness of Telephone Versus Face-to-Face CBT in Treating People With Depression","Depression","Behavioral","Face-to-face administered CBT (FtF-CBT)"
"NCT05129891","A Research Study Looking at New Protein-based Tablets in Healthy Male Participants","Type 2 Diabetes","Drug","Semaglutide H"
"NCT02057328","Comparative Study of the Effects of Telmisartan and Nebivolol","Hypertension","Drug","NEBIVOLOL"
"NCT01719289","Efficacy of a Program for the Management of Depression in Pregnant Women in Primary Care in São Paulo, Brazil","Depression","Behavioral","PROGRAVIDA"
"NCT00469105","Improving Care for Primary Care Patients With Diabetes and Poor Literacy and Numeracy Skills","Type 2 Diabetes","Behavioral","Literacy/Numeracy oriented educational intervention"
"NCT05002309","Treatment Interrupts Depression Early","Depression","Behavioral","Cognitive-Behavioural Therapy"
"NCT02908152","Curcumin Supplement in Nonalcoholic Fatty Liver Patients","Type 2 Diabetes","Dietary Supplement","placebo"
"NCT03849287","Compare the Pharmacokinetics and Safety of CKD-333 With Co-administration CKD-330 and D090 in Healthy Male Adults","Hypertension","Drug","CKD-333, formula I"
"NCT03995186","Effects of Behavioural Activation on Emotional Cognition and Mood","Depression","Behavioral","Activity monitoring"
"NCT02087540","Efficacy and Safety of Telmisartan/Rosuvastatin Co-administration in Hypertensive Patients With Hyperlipidemia","Hypertension","Drug","Rosuvastatin 10mg"
"NCT02939131","IMPAACT 2002: Cognitive Behavioral Therapy and Medication Management for Treatment of Depression in US Youth With HIV","Depression","Behavioral","Enhanced Standard of Care"
"NCT02403557","Internet-delivered Cognitive Behaviour Therapy for Older Adults With Anxiety","Depression","Behavioral","Waitlist"
"NCT00980187","A Comparison of Indapamide SR 1.5 mg With HCTZ 25 mg, in Combination With an ACE-inhibitor, in Patients With Mild to Moderate AHT and Type 2 DM","Hypertension","Drug","Indapamide"
"NCT03779477","Effect of Coping With Stress Program to Depression, Anxiety, Brain Functions in Adolescent at High-Risk for Depression","Depression","Behavioral","Coping with Stress Course"
"NCT05029687","Youth-Led Intervention to Improve Blood Pressure","Hypertension","Behavioral","Job Readiness/Non-Hypertension Digital Badge(s)"
"NCT02623231","The Effect of Escitalopram on Mood, Quality of Life and Cognitive Functioning in Glioblastoma Patients","Depression","Drug","placebo"
"NCT01040468","Surgery Or Lifestyle Intervention for Type 2 Diabetes (SOLID)","Type 2 Diabetes","Procedure","Laparoscopic Adjustable Gastric Banding surgery"
"NCT00494728","Smoking Cessation for Depressed Smokers","Depression","Drug","Nicotine Replacement Therapy"
"NCT00308386","DYNAMIC Study: (Diabetes Nurse Case Management And Motivational Interviewing for Change)","Hypertension","Behavioral","Nurse Case Management intervention"
"NCT05385575","A Study to Evaluate Effects of KN056 in Healthy Participants","Type 2 Diabetes","Drug","KN056 (0.3mg)"
"NCT02211352","Effect of Korean Red Ginseng on Central Blood Pressure in Patient With Essential Hypertension","Hypertension","Drug","Placebo"
"NCT01796054","Stress Free Now, a Mind-body Reduction Program for Nurses","Depression","Behavioral","Group support session"
"NCT02425124","Strengthening Mental Health Care in Chronic Care Patients With Hypertension. A Cluster Randomised Control Trial","Depression","Behavioral","PC101+Mental Health"
"NCT05176392","Combined Transcranial Magnetic Stimulation and Therapy for mTBI Related Headaches","Depression","Device","Active rTMS"
"NCT01768559","Efficacy and Safety of Lixisenatide Versus Insulin Glulisine on Top of Insulin Glargine With or Without Metformin in Type 2 Diabetic Patients","Type 2 Diabetes","Drug","Metformin (Background drug)"
"NCT01731717","Cluster Randomized Trial of Stepped Care Intervention vs. Treatment as Usual for Patients With Depression","Depression","Behavioral","Combined psychotherapy and psychopharmacological treatment"
"NCT05528419","Sacubitril Valsartan in Preventing the Recurrence of Atrial Fibrillation After Ablation in Elderly Hypertensive Patients With Atrial Fibrillation","Hypertension","Drug","Valsartan"
"NCT00373750","Cradling Our Future Through Family Strengthening Study","Depression","Procedure","Family Spirit Intervention"
"NCT05346250","Long-term Effect of Moderate and Vigorous Exercise on Incident Diabetes in Obese Subjects","Type 2 Diabetes","Behavioral","Vigorous intensity exercise"
"NCT01652001","Drug-induced Xerostomia. Evaluation of Malic Acid 1%, Salivary Mucins and Buffering Capacity","Hypertension","Drug","Malic Acid"
"NCT00666757","A Study Comparing Duloxetine to Other Antidepressants in the Treatment of Severe Depression","Depression","Drug","fluoxetine"
"NCT04803071","Omega-3 Unsaturated Fatty Acid Improves Cognitive Function in Patients With Depression","Depression","Dietary Supplement","Experimental group of n-pufas improving cognitive formula"
"NCT00805532","Behavioral Activation for PTSD/Depression Treatment in OIF/OEF Veterans","Depression","Behavioral","Behavioral Activation treatment"
"NCT01246193","CKD-828(80/2.5mg) Pharmacokinetic Study","Hypertension","Drug","CKD-828(FDC)"
"NCT01910935","Effectiveness of Physical Activity Prescription Among Hypertensive Patients of Primary Health Care.","Hypertension","Behavioral","Physical activity prescription to develop program in group."
"NCT02301806","Effects of Sitaglpitin on Endothelial Function During the OGTT in T2DM","Type 2 Diabetes","Drug","Glimepiride"
"NCT00599885","Comparison of Effects of Telmisartan and Valsartan on Neointima Volume in Diabetes","Hypertension","Drug","valsartan"
"NCT01602367","Safety and Efficacy Study of BMS-823778 to Treat Uncontrolled High Blood Pressure in Overweight and Obese Patients","Hypertension","Drug","Placebo matching with BMS-823778"
"NCT01152554","A Study to Assess the Long- Term Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder","Depression","Drug","TC-5214"
"NCT00424203","Doxorubicin and Cyclophosphamide in Treating Older Women With Stage I, Stage II, or Stage III Breast Cancer That Has Been Removed By Surgery","Depression","Procedure","psychosocial assessment and care"
"NCT03091920","Trial of IW-1973, A Stimulator of Soluble Guanylate Cyclase (sGC) in Patients With Stable Type 2 Diabetes and Hypertension","Hypertension","Drug","Placebo"
"NCT05217706","Low-Dose Intravenous Ketamine for Adolescents With Depression and Suicidal Ideation in the Emergency Department","Depression","Drug","Ketamine"
"NCT00498433","Effects of Aliskiren and Amlodipine on the Renin-Angiotensin System (RAS) and Lipid/Carbohydrate Metabolism in Obese Patients With Hypertension","Hypertension","Drug","Amlodipine"
"NCT00170950","Avoiding Cardiovascular Events Through Combination Therapy in Patients Living With Systolic Hypertension","Hypertension","Drug","Benazepril/amlodipine 20/5 mg - Dose Level 1 from Day 1 to Month 1"
"NCT00062673","Study of Duloxetine in Elderly Patients With Major Depressive Disorder","Depression","Drug","Duloxetine"
"NCT03686657","Evaluation of Superiority of Valsartan+Celecoxib+Metformin Over Metformin Alone in Type 2 Diabetes Patients","Type 2 Diabetes","Drug","Metformin"
"NCT05362058","A Study of LY3209590 Compared to Degludec in Adults With Type 2 Diabetes Who Are Starting Basal Insulin for the First Time","Type 2 Diabetes","Drug","Insulin Degludec"
"NCT00670566","Irbesartan/Hydrochlorothiazide to Control Elevated Blood Pressure to Target in Moderate to Severe Hypertensive Patients","Hypertension","Drug","irbesartan/hydrochlorothiazide"
"NCT03183947","Symptom Based Treatment Affects Brain Plasticity - Cognitive Training in Patients With Affective Symptoms","Depression","Procedure","fMRI"
"NCT00000542","Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT)","Hypertension","Drug","pravastatin"
"NCT00080158","Treatment of Adolescent Suicide Attempters (TASA)","Depression","Drug","sertraline"
"NCT01545843","Repeated Partial Sleep Deprivation to Augment SSRI Response in Depression","Depression","Behavioral","Sleep scheduling"
"NCT01646320","Safety and Efficacy of Dapagliflozin in Triple Therapy to Treat Subjects With Type 2 Diabetes","Type 2 Diabetes","Drug","Dapagliflozin"
"NCT02131922","Study of the Effects of Intensive Treatment of Periodontitis on Blood Pressure Control","Hypertension","Procedure","Dental Hygienization Treatment"
"NCT04413500","iMedA: Improving MEDication Adherence Through Person-Centered Care and Adaptive Interventions","Hypertension","Behavioral","Educational message"
"NCT00912002","A Study of Absorption, Metabolism, Excretion and Mass Balance After a Single Dose Administration of MK-0941 (MK-0941-016)(COMPLETED)","Type 2 Diabetes","Drug","MK-0941"
"NCT03159715","Internet-based Depression Treatment: Differential Efficacy of Different Therapeutic Components","Depression","Behavioral","Internet-based Positive Psychology Protocol"
"NCT00235014","A Study for Prevention of Kidney Disease in Diabetic Patients (BENEDICT)","Hypertension","Drug","trandolapril/verapamil"
"NCT01172431","Indapamide Versus Hydrochlorothiazide in Elderly Hypertensive Patients With Renal Insufficiency","Hypertension","Drug","Indapamide"
"NCT01951339","Impact of Sitagliptin on Cardiovascular Exercise Performance in Type 2 Diabetes","Type 2 Diabetes","Drug","Glimepiride"
"NCT00139490","Home-Based Program to Treat High Blood Pressure in African Americans","Hypertension","Behavioral","Basic Group"
"NCT03050619","Characteristics of Empagliflozin Initiators","Type 2 Diabetes","Drug","Empagliflozin"
"NCT01043965","Myocardial Perfusion in Type 2 Diabetes","Type 2 Diabetes","Drug","Metformin"
"NCT05506787","The Effects of Intraoperative Esketamine on Postoperative Pain and Mood in Patients With Inflammatory Bowel Disease","Depression","Drug","Esketamine"
"NCT00406640","Study Evaluating Desvenlafaxine Succinate Sustained Release (DVS SR) vs. Escitalopram in Postmenopausal Women","Depression","Drug","Escitalopram"
"NCT00878150","Life Improvement Following Traumatic Brain Injury","Depression","Behavioral","Telephone Cognitive Behavioral Therapy"
"NCT04656093","Healthy Mediation Adherence To Transform and Effectively Relieve Symptoms","Hypertension","Behavioral","Supportive counseling"
"NCT04201600","Glucose Variability and Cognition in Prediabetes","Depression","Device","Continuous Glucose Monitoring System (CGMS)"
"NCT04070183","POST Facilitation for Community Dwelling Older Adults (POST-RCT)","Depression","Behavioral","POST Facilitation"
"NCT00241839","Uric Acid and Hypertension in African Americans","Hypertension","Drug","Potassium chloride"
"NCT02917057","Subanalyses of Elderly Type 2 Diabetes Patients or Type 2 Diabetes Patients With Renal Impairment","Type 2 Diabetes","Drug","basal insulin"
"NCT04626089","Metformin Glycinate in Patients With MS or DM2 , Hospitalized With COVID-19 and SARS Secondary to SARS-CoV-2","Type 2 Diabetes","Drug","Placebo oral tablet"
"NCT01294215","High Dose BAYA1040_Nifedipine: a Long Term Combination Study","Hypertension","Drug","Nifedipine (Adalat, BAYA1040)"
"NCT03027791","Sodium Healthy Living Project","Hypertension","Behavioral","Group Sessions"
"NCT00810628","Cognitive Behavioral Therapy for Depression in Parkinson's Disease","Depression","Behavioral","Cognitive Behavioral Therapy"
"NCT05274620","Integrating a Suite of Mental Health Apps for Depression in a Healthcare Setting","Depression","Behavioral","IntelliCare"
"NCT01263743","Relaxation Response Training to Treat Hypertension","Hypertension","Behavioral","Relaxation Response"
"NCT00551954","Effects of Acarbose on Endothelial Function After a Mixed Meal in Newly Diagnosed Type 2 Diabetes","Type 2 Diabetes","Drug","placebo"
"NCT01822860","Chlorthalidone Compared to Hydrochlorothiazide on Endothelial Function","Hypertension","Drug","Chlorthalidone 12.5 mg"
"NCT00893750","Trauma and Truth Interventions (NET) Versus Conflict Resolution and Social Skills Trainings for Vulnerable Youths in Northern Uganda","Depression","Behavioral","Conflict Resolution and Social Competence Skills"
"NCT04756544","The Influence of Probiotic Supplementation on Depressive Symptoms, Inflammation and Oxidative Stress Parameters and Faecal Microbiota in Patients With Depression Depending on Metabolic Syndrome Comorbidity","Depression","Dietary Supplement","Lactobacillus helveticus Rosell®-52, Bifidobacterium longum Rosell®-175"
"NCT01360866","Safety and Tolerability of Oral OPC-34712 as Adjunctive Therapy in Adults With Major Depressive Disorder (the Orion Trial)","Depression","Drug","Escitalopram"
"NCT00562549","Safety and Effects of SLx-2101 Taken for up to 14 Days on Blood Pressure in Patients With Hypertension","Hypertension","Drug","SLx-2101"
"NCT00949689","Young Adult and Teen Sleep Study","Depression","Behavioral","Cognitive Behavioral Therapy for insomnia and depression"
"NCT00644995","Effectiveness of The Step Up Wellness Program for People With Depression","Depression","Behavioral","Usual care"
"NCT05605743","Alternate Nostril Breathing Training in Geriatrics With Glaucoma and High Blood Pressure","Hypertension","Behavioral","breathing exercise"
"NCT00825188","A Study of the Effects of Eplerenone and Amlodipine on Blood Pressure and Basal Metabolic Rate in Obese Hypertensives","Hypertension","Drug","eplerenone, amlodipine"
"NCT01728116","Safety and Efficacy of EndoBarrier in Subjects With Type 2 Diabetes Who Are Obese","Type 2 Diabetes","Device","EndoBarrier"
"NCT00160212","Study to Evaluate the Efficacy and Safety of SLV306 in Subjects With Hypertension","Hypertension","Drug","Daglutril"
"NCT01902719","Achieving Blood Pressure Control Together Study","Hypertension","Behavioral","Community Health Worker (CHW) Intervention"
"NCT00706134","Efficacy and Safety of Aliskiren 75 mg, 150 mg, and 300 mg in Elderly Patients With Essential Hypertension When Given With a Light Meal in a 8 Week Placebo-controlled Study","Hypertension","Drug","Aliskiren 75 mg"
"NCT04304430","Comparative Effectiveness of Dapagliflozin Versus DPP-4 Inhibitors","Type 2 Diabetes","Drug","Dapagliflozin"
"NCT02278367","Clinical Evaluation of Flortaucipir F 18","Depression","Drug","Flortaucipir F18"
"NCT03448523","Evaluation of Right To Play's Positive Child and Youth Development Program in Middle Schools in Hyderabad, Pakistan","Depression","Behavioral","Right To Play's Positive Child and Youth Development program"
"NCT02473081","Minimal Psychological Intervention in Diabetes Patients","Depression","Behavioral","Minimal psychological intervention"
"NCT03965104","Improving Hypertension Detection and Control Through a Hypertension Certification Program Based Upon the Hypertension Canada Guidelines","Hypertension","Behavioral","Hypertension Canada Professional Certification Program: HC-PCP"
"NCT02827396","Effectiveness of a Training Intervention on Mental Health of Parents for Intellectually Disabled Children in Malawi","Depression","Behavioral","Psychosocial intervention"
"NCT00995072","Comparative Effects of Nebivolol and Metoprolol on Female Sexual Function","Hypertension","Drug","nebivolol and metoprolol succinate"
"NCT02206074","The Effect of Dietary Nitrate Supplementation on Ability of Individuals With Type 2 Diabetes to Perform Exercise","Type 2 Diabetes","Dietary Supplement","Beetroot"
"NCT02544295","Based-virtual Reality Diagnosis for Neuropsychiatric Diseases and Sleep/Wake Disorders","Depression","Behavioral","Virtual reality task"
"NCT01528241","Characterize the Regional Distribution of [11C] ABP688 in Brain by Positron Emission Tomography (PET)","Depression","Drug","ABP688"
"NCT01360645","Study of the Safety and Efficacy of Fixed Dose OPC-34712 as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder (the Pyxis Trial)","Depression","Drug","Placebo + ADT"
"NCT00753896","Safety of Exenatide Once Weekly in Patients With Type 2 Diabetes Mellitus Treated With Thiazolidinedione Alone or Thiazolidinedione in Combination With Metformin","Type 2 Diabetes","Drug","exenatide"
